timestamp,deviceId,channelIndex,value
1779950677513,sim-1,0,6.386181
1779950677513,sim-1,1,0.451512
1779950677513,sim-1,2,3.777112
1779950677513,sim-1,3,0.308136
1779950677513,sim-1,4,5.314468
1779950677513,sim-1,5,-0.236637
1779950677513,sim-1,6,5.331215
1779950677513,sim-1,7,4.015214
1779950677513,sim-1,8,-2.485909
1779950677513,sim-1,9,-8.835281
1779950677513,sim-1,10,-5.240090
1779950677513,sim-1,11,-5.473877
1779950677513,sim-1,12,-2.694167
1779950677513,sim-1,13,6.880845
1779950677513,sim-1,14,-1.263873
1779950677513,sim-1,15,8.074738
1779950677513,sim-1,16,101.429245
1779950677513,sim-1,17,22.530487
1779950677562,sim-1,0,-8.274301
1779950677562,sim-1,1,-8.272145
1779950677562,sim-1,2,-6.556435
1779950677562,sim-1,3,-0.811723
1779950677562,sim-1,4,-6.186757
1779950677562,sim-1,5,1.553623
1779950677562,sim-1,6,-2.728941
1779950677562,sim-1,7,1.513226
1779950677562,sim-1,8,7.472487
1779950677562,sim-1,9,9.285057
1779950677562,sim-1,10,5.588041
1779950677562,sim-1,11,-9.813870
1779950677562,sim-1,12,-0.049716
1779950677562,sim-1,13,2.145631
1779950677562,sim-1,14,1.582785
1779950677562,sim-1,15,-9.946886
1779950677562,sim-1,16,101.328845
1779950677562,sim-1,17,22.486487
1779950677612,sim-1,0,3.255745
1779950677612,sim-1,1,-5.434436
1779950677612,sim-1,2,1.646057
1779950677612,sim-1,3,0.130413
1779950677612,sim-1,4,-0.033373
1779950677612,sim-1,5,2.698556
1779950677612,sim-1,6,2.517039
1779950677612,sim-1,7,1.688326
1779950677612,sim-1,8,-4.796891
1779950677612,sim-1,9,5.650052
1779950677612,sim-1,10,-2.341567
1779950677612,sim-1,11,7.356121
1779950677612,sim-1,12,3.825712
1779950677612,sim-1,13,4.083665
1779950677612,sim-1,14,2.818865
1779950677612,sim-1,15,-5.723376
1779950677612,sim-1,16,101.469513
1779950677612,sim-1,17,22.522777
1779950677662,sim-1,0,0.105977
1779950677662,sim-1,1,6.197076
1779950677662,sim-1,2,-3.286069
1779950677662,sim-1,3,-3.000102
1779950677662,sim-1,4,1.081741
1779950677662,sim-1,5,0.340976
1779950677662,sim-1,6,-3.397687
1779950677662,sim-1,7,0.766257
1779950677662,sim-1,8,-1.116744
1779950677662,sim-1,9,4.103288
1779950677662,sim-1,10,1.009051
1779950677662,sim-1,11,-9.691772
1779950677662,sim-1,12,-2.741987
1779950677662,sim-1,13,-6.684085
1779950677662,sim-1,14,1.625233
1779950677662,sim-1,15,7.612547
1779950677662,sim-1,16,101.352624
1779950677662,sim-1,17,22.556397
1779950677713,sim-1,0,-5.006190
1779950677713,sim-1,1,-3.403647
1779950677713,sim-1,2,-0.119672
1779950677713,sim-1,3,9.732151
1779950677713,sim-1,4,-6.385142
1779950677713,sim-1,5,2.890043
1779950677713,sim-1,6,-7.784316
1779950677713,sim-1,7,-0.639833
1779950677713,sim-1,8,3.118007
1779950677713,sim-1,9,8.983184
1779950677713,sim-1,10,-2.175160
1779950677713,sim-1,11,2.657825
1779950677713,sim-1,12,3.351320
1779950677713,sim-1,13,-8.868170
1779950677713,sim-1,14,-1.816207
1779950677713,sim-1,15,-7.475540
1779950677713,sim-1,16,101.386891
1779950677713,sim-1,17,22.542255
1779950677762,sim-1,0,-9.670886
1779950677762,sim-1,1,-4.483909
1779950677762,sim-1,2,-9.853635
1779950677762,sim-1,3,-9.455232
1779950677762,sim-1,4,5.738564
1779950677762,sim-1,5,7.204140
1779950677762,sim-1,6,8.271517
1779950677762,sim-1,7,4.726439
1779950677762,sim-1,8,-0.256443
1779950677762,sim-1,9,-9.124882
