timestamp,deviceId,channelIndex,value
1779952092834,sim-1,0,-8.323981
1779952092834,sim-1,1,-7.773554
1779952092834,sim-1,2,9.616053
1779952092834,sim-1,3,6.288191
1779952092834,sim-1,4,-8.850720
1779952092834,sim-1,5,2.108495
1779952092834,sim-1,6,-0.112634
1779952092834,sim-1,7,-4.844955
1779952092834,sim-1,8,0.450480
1779952092834,sim-1,9,3.720232
1779952092834,sim-1,10,7.644649
1779952092834,sim-1,11,-6.336336
1779952092834,sim-1,12,3.963692
1779952092834,sim-1,13,1.986962
1779952092834,sim-1,14,9.697448
1779952092834,sim-1,15,-6.698738
1779952092834,sim-1,16,101.387121
1779952092834,sim-1,17,22.513296
1779952092883,sim-1,0,4.238925
1779952092883,sim-1,1,0.637495
1779952092883,sim-1,2,9.117813
1779952092883,sim-1,3,-8.130152
1779952092883,sim-1,4,2.990479
1779952092883,sim-1,5,7.759392
1779952092883,sim-1,6,7.465798
1779952092883,sim-1,7,3.657512
1779952092883,sim-1,8,-2.556931
1779952092883,sim-1,9,1.807716
1779952092883,sim-1,10,2.789519
1779952092883,sim-1,11,4.741126
1779952092883,sim-1,12,-9.480429
1779952092883,sim-1,13,-8.773056
1779952092883,sim-1,14,-2.426374
1779952092883,sim-1,15,5.113261
1779952092883,sim-1,16,101.305188
1779952092883,sim-1,17,22.504923
1779952092933,sim-1,0,9.388129
1779952092933,sim-1,1,-4.468696
1779952092933,sim-1,2,2.764632
1779952092933,sim-1,3,-1.401924
1779952092933,sim-1,4,9.603460
1779952092933,sim-1,5,-4.405520
1779952092933,sim-1,6,8.957170
1779952092933,sim-1,7,-0.087153
1779952092933,sim-1,8,-7.706060
1779952092933,sim-1,9,-4.107205
1779952092933,sim-1,10,-3.309203
1779952092933,sim-1,11,-9.427505
1779952092933,sim-1,12,-5.238523
1779952092933,sim-1,13,-7.011973
1779952092933,sim-1,14,-1.978157
1779952092933,sim-1,15,4.780838
1779952092933,sim-1,16,101.347735
1779952092933,sim-1,17,22.497265
1779952092983,sim-1,0,0.873961
1779952092983,sim-1,1,0.481635
1779952092983,sim-1,2,4.095383
1779952092983,sim-1,3,-5.748726
1779952092983,sim-1,4,0.836121
1779952092983,sim-1,5,6.390623
1779952092983,sim-1,6,-3.618962
1779952092983,sim-1,7,8.819580
1779952092983,sim-1,8,-0.970660
1779952092983,sim-1,9,-6.785415
1779952092983,sim-1,10,-1.932215
1779952092983,sim-1,11,-7.539526
1779952092983,sim-1,12,-5.300665
1779952092983,sim-1,13,-4.528970
1779952092983,sim-1,14,-9.222876
1779952092983,sim-1,15,-4.058331
1779952092983,sim-1,16,101.403168
1779952092983,sim-1,17,22.509766
1779952093033,sim-1,0,-7.810322
1779952093033,sim-1,1,2.903940
1779952093033,sim-1,2,3.011777
1779952093033,sim-1,3,8.775860
1779952093033,sim-1,4,0.592681
1779952093033,sim-1,5,-1.692259
1779952093033,sim-1,6,8.856708
1779952093033,sim-1,7,8.838239
1779952093033,sim-1,8,-9.073679
1779952093033,sim-1,9,-9.992345
1779952093033,sim-1,10,-3.238758
1779952093033,sim-1,11,-6.793102
1779952093033,sim-1,12,-6.741927
1779952093033,sim-1,13,1.326867
1779952093033,sim-1,14,3.622690
1779952093033,sim-1,15,-0.044529
1779952093033,sim-1,16,101.318541
1779952093033,sim-1,17,22.508736
1779952093083,sim-1,0,-9.969670
1779952093083,sim-1,1,-4.043111
1779952093083,sim-1,2,9.291852
1779952093083,sim-1,3,-4.338888
1779952093083,sim-1,4,2.238478
1779952093083,sim-1,5,1.906712
1779952093083,sim-1,6,-7.399258
1779952093083,sim-1,7,5.465364
1779952093083,sim-1,8,-3.767227
1779952093083,sim-1,9,4.459135
1779952093083,sim-1,10,-6.675119
1779952093083,sim-1,11,6.644201
1779952093083,sim-1,12,2.428505
1779952093083,sim-1,13,8.522903
1779952093083,sim-1,14,-3.031626
1779952093083,sim-1,15,6.275439
1779952093083,sim-1,16,101.377807
1779952093083,sim-1,17,22.502837
1779952093134,sim-1,0,-6.685131
1779952093134,sim-1,1,7.836241
1779952093134,sim-1,2,-4.411563
1779952093134,sim-1,3,4.235539
1779952093134,sim-1,4,3.729910
1779952093134,sim-1,5,-4.779142
1779952093134,sim-1,6,8.718765
1779952093134,sim-1,7,-5.557789
1779952093134,sim-1,8,-9.064454
1779952093134,sim-1,9,4.307144
1779952093134,sim-1,10,5.335126
1779952093134,sim-1,11,-4.577432
1779952093134,sim-1,12,-5.012353
1779952093134,sim-1,13,6.824814
1779952093134,sim-1,14,-2.025936
1779952093134,sim-1,15,-6.677064
1779952093134,sim-1,16,101.482420
1779952093134,sim-1,17,22.459530
1779952093184,sim-1,0,-8.850320
1779952093184,sim-1,1,3.871537
1779952093184,sim-1,2,2.522654
1779952093184,sim-1,3,-1.308226
1779952093184,sim-1,4,8.869123
1779952093184,sim-1,5,5.007636
1779952093184,sim-1,6,-2.186232
1779952093184,sim-1,7,0.175188
1779952093184,sim-1,8,8.083831
1779952093184,sim-1,9,-9.724094
1779952093184,sim-1,10,-7.637456
1779952093184,sim-1,11,-6.061924
1779952093184,sim-1,12,9.794496
1779952093184,sim-1,13,0.894855
1779952093184,sim-1,14,7.073163
1779952093184,sim-1,15,4.031012
1779952093184,sim-1,16,101.491490
1779952093184,sim-1,17,22.489424
1779952093234,sim-1,0,-4.989635
1779952093234,sim-1,1,-7.704816
1779952093234,sim-1,2,1.159247
1779952093234,sim-1,3,-9.288347
1779952093234,sim-1,4,8.857086
1779952093234,sim-1,5,2.972137
1779952093234,sim-1,6,3.521198
1779952093234,sim-1,7,8.877543
1779952093234,sim-1,8,8.587141
